%TITLE%
 KHUM   240728/1900

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
 617.64,    4204.50,       2.45,      -0.65,     194.42,      19.69
 615.62,    4231.09,       2.19,      -0.69,     191.75,      19.13
 613.65,    4257.04,       2.09,      -0.86,     189.99,      18.77
 611.69,    4282.82,       1.90,      -0.91,     190.36,      18.90
 609.75,    4308.43,       1.74,      -0.88,     191.29,      18.80
 607.83,    4333.96,       1.47,      -0.75,     193.02,      19.02
 605.91,    4359.47,       1.21,      -0.74,     194.85,      19.08
 603.98,    4385.14,       1.02,      -0.86,     196.78,      18.81
 602.05,    4410.87,       0.80,      -0.84,     198.05,      18.86
 600.14,    4436.48,       0.62,      -1.29,     199.44,      18.70
 598.24,    4462.01,       0.38,      -1.61,     200.17,      18.68
 596.36,    4487.20,       0.19,      -2.01,     200.36,      18.66
 594.51,    4512.21,      -0.10,      -2.18,     200.48,      18.51
 592.65,    4537.29,      -0.29,      -2.20,     199.49,      18.48
 590.77,    4562.69,      -0.47,      -2.35,     197.77,      18.45
 588.90,    4588.11,      -0.71,      -2.35,     195.77,      18.51
 587.09,    4612.73,      -0.93,      -1.86,     194.62,      18.92
 585.36,    4636.39,      -1.07,      -1.72,     194.03,      19.19
 583.63,    4660.01,      -1.27,      -1.88,     194.21,      19.36
 581.90,    4683.66,      -1.41,      -2.08,     194.48,      19.98
 580.16,    4707.56,      -1.34,      -2.53,     194.58,      20.32
 578.42,    4731.52,      -1.20,      -2.49,     195.72,      20.55
 576.71,    4755.17,      -1.20,      -2.41,     197.04,      20.83
 575.03,    4778.58,      -0.83,      -3.31,     198.36,      21.00
 573.34,    4802.08,      -0.96,      -3.53,     198.90,      21.25
 571.62,    4826.12,      -0.90,      -3.68,     197.28,      21.38
 569.86,    4850.65,      -0.98,      -3.63,     194.21,      21.86
 568.06,    4876.04,      -1.06,      -3.64,     191.46,      21.99
