Time [mm:ss]	UTC Time [hh:mm:ss]	T [°C]	Hu5 [%]	T Molybdenum [°C]
54:44.8     	12:44:09.8         	-30.17	42.40  	-24.98
54:45.6     	12:44:10.6         	-30.17	41.84  	-25.09
54:46.5     	12:44:11.5         	-30.16	41.57  	-25.28
54:47.4     	12:44:12.4         	-30.16	41.09  	-25.49
54:48.3     	12:44:13.3         	-30.16	40.55  	-25.62
54:49.3     	12:44:14.3         	-30.18	40.37  	-25.69
54:50.2     	12:44:15.2         	-30.21	40.32  	-25.72
54:51.1     	12:44:16.1         	-30.28	40.53  	-25.42
54:52.0     	12:44:17.0         	-30.35	41.11  	-25.42
54:52.9     	12:44:17.9         	-30.42	41.88  	-25.31
54:53.7     	12:44:18.7         	-30.46	42.26  	-25.27
54:54.6     	12:44:19.6         	-30.49	42.36  	-25.15
54:55.5     	12:44:20.5         	-30.51	42.70  	-25.05
54:56.4     	12:44:21.4         	-30.54	42.82  	-24.90
54:57.3     	12:44:22.3         	-30.55	43.05  	-24.88
54:58.2     	12:44:23.2         	-30.57	43.01  	-24.96
54:59.1     	12:44:24.1         	-30.59	42.79  	-25.13
55:00.0     	12:44:25.0         	-30.61	42.41  	-25.24
55:00.9     	12:44:25.9         	-30.62	42.31  	-25.37
55:01.7     	12:44:26.7         	-30.65	42.38  	-25.49
55:02.7     	12:44:27.7         	-30.65	42.33  	-25.49
55:03.6     	12:44:28.6         	-30.67	42.72  	-25.60
55:04.5     	12:44:29.5         	-30.70	42.69  	-25.64
55:05.4     	12:44:30.4         	-30.71	43.08  	-25.77
55:06.3     	12:44:31.3         	-30.73	43.21  	-25.83
55:07.2     	12:44:32.2         	-30.74	43.54  	-25.91
55:08.1     	12:44:33.1         	-30.76	43.80  	-25.94
55:09.0     	12:44:34.0         	-30.75	43.99  	-25.91
55:09.8     	12:44:34.8         	-30.77	44.52  	-25.97
55:10.7     	12:44:35.7         	-30.83	45.03  	-25.90
55:11.6     	12:44:36.6         	-30.92	45.93  	-25.69
55:12.5     	12:44:37.5         	-30.99	47.09  	-25.52
55:13.4     	12:44:38.4         	-31.04	47.78  	-25.32
55:14.3     	12:44:39.3         	-31.06	48.47  	-25.23
55:15.3     	12:44:40.3         	-31.08	48.83  	-25.18
55:16.2     	12:44:41.2         	-31.10	49.41  	-25.23
55:17.1     	12:44:42.1         	-31.11	51.38  	-25.31
55:17.9     	12:44:42.9         	-31.12	52.49  	-25.45
55:18.8     	12:44:43.8         	-31.14	53.12  	-25.53
55:19.7     	12:44:44.7         	-31.17	53.96  	-25.53
55:20.6     	12:44:45.6         	-31.21	54.95  	-25.45
55:21.5     	12:44:46.5         	-31.23	55.94  	-25.50
55:22.4     	12:44:47.4         	-31.27	56.37  	-25.52
55:23.3     	12:44:48.3         	-31.30	56.82  	-25.56
55:24.2     	12:44:49.2         	-31.34	57.42  	-25.62
55:25.1     	12:44:50.1         	-31.35	58.15  	-25.67
55:25.9     	12:44:50.9         	-31.36	59.46  	-25.85
55:26.8     	12:44:51.8         	-31.37	60.59  	-25.94
55:27.7     	12:44:52.7         	-31.38	61.93  	-26.15
55:28.6     	12:44:53.6         	-31.40	62.46  	-26.25
55:29.6     	12:44:54.6         	-31.40	63.32  	-26.43
55:30.5     	12:44:55.5         	-31.43	63.81  	-26.55
55:31.4     	12:44:56.4         	-31.45	64.64  	-26.64
55:32.3     	12:44:57.3         	-31.47	65.40  	-26.66
55:33.2     	12:44:58.2         	-31.48	66.22  	-26.71
55:34.0     	12:44:59.0         	-31.50	66.88  	-26.72
55:34.9     	12:44:59.9         	-31.52	67.62  	-26.72
55:35.8     	12:45:00.8         	-31.55	68.30  	-26.75
55:36.7     	12:45:01.7         	-31.57	68.56  	-26.78
55:37.6     	12:45:02.6         	-31.63	69.23  	-26.81
55:38.5     	12:45:03.5         	-31.71	69.64  	-26.74
55:39.4     	12:45:04.4         	-31.74	70.23  	-26.82
55:40.3     	12:45:05.3         	-31.74	69.54  	-26.85
55:41.2     	12:45:06.2         	-31.78	69.08  	-26.85
55:42.0     	12:45:07.0         	-31.85	68.57  	-26.52
55:43.1     	12:45:08.1         	-31.88	68.98  	-26.35
55:44.0     	12:45:09.0         	-31.90	68.10  	-26.41
55:44.8     	12:45:09.8         	-31.86	65.65  	-26.63
55:45.7     	12:45:10.7         	-31.83	62.89  	-26.74
55:46.6     	12:45:11.6         	-31.83	61.35  	-26.83
55:47.5     	12:45:12.5         	-31.83	59.82  	-26.93
55:48.4     	12:45:13.4         	-31.82	58.36  	-26.93
55:49.3     	12:45:14.3         	-31.84	58.06  	-26.94
55:50.1     	12:45:15.1         	-31.88	57.61  	-26.77
55:51.0     	12:45:16.0         	-31.93	58.07  	-26.61
55:52.0     	12:45:17.0         	-31.99	58.46  	-26.42
55:52.8     	12:45:17.8         	-32.04	58.80  	-26.57
55:53.7     	12:45:18.7         	-32.03	57.55  	-26.67
55:54.6     	12:45:19.6         	-32.02	56.77  	-26.72
55:55.6     	12:45:20.6         	-32.06	56.74  	-26.74
55:56.5     	12:45:21.5         	-32.12	56.71  	-26.77
55:57.4     	12:45:22.4         	-32.12	56.92  	-26.77
55:58.5     	12:45:23.5         	-32.12	56.92  	-26.77
55:59.2     	12:45:24.2         	-32.17	57.06  	-26.90
56:00.1     	12:45:25.1         	-32.21	56.80  	-27.05
56:00.9     	12:45:25.9         	-32.25	56.65  	-27.12
56:01.8     	12:45:26.8         	-32.30	56.87  	-27.15
56:02.7     	12:45:27.7         	-32.29	56.87  	-27.15
56:03.6     	12:45:28.6         	-32.30	57.01  	-27.25
56:04.5     	12:45:29.5         	-32.32	56.78  	-27.28
56:05.4     	12:45:30.4         	-32.38	57.08  	-27.36
56:06.3     	12:45:31.3         	-32.42	57.06  	-27.49
56:07.2     	12:45:32.2         	-32.42	56.63  	-27.53
56:08.1     	12:45:33.1         	-32.43	56.72  	-27.56
56:08.9     	12:45:33.9         	-32.49	57.02  	-27.46
56:09.8     	12:45:34.8         	-32.54	57.52  	-27.37
56:10.8     	12:45:35.8         	-32.55	57.26  	-27.32
56:11.7     	12:45:36.7         	-32.53	56.50  	-27.33
56:12.6     	12:45:37.6         	-32.52	55.75  	-27.42
56:13.5     	12:45:38.5         	-32.49	54.16  	-27.41
56:14.4     	12:45:39.4         	-32.48	53.26  	-27.53
56:15.3     	12:45:40.3         	-32.52	52.10  	-27.53
56:16.2     	12:45:41.2         	-32.54	51.09  	-27.48
56:17.0     	12:45:42.0         	-32.55	50.44  	-27.19
56:17.9     	12:45:42.9         	-32.59	50.76  	-27.05
56:18.9     	12:45:43.9         	-32.65	50.62  	-26.90
56:19.7     	12:45:44.7         	-32.69	50.28  	-27.00
56:20.6     	12:45:45.6         	-32.67	48.96  	-27.16
56:21.5     	12:45:46.5         	-32.68	47.65  	-27.27
56:22.4     	12:45:47.4         	-32.68	47.14  	-27.32
56:23.3     	12:45:48.3         	-32.73	46.91  	-27.18
56:24.2     	12:45:49.2         	-32.77	47.37  	-27.25
56:25.1     	12:45:50.1         	-32.80	47.02  	-27.49
56:26.1     	12:45:51.1         	-32.83	46.19  	-27.73
56:27.0     	12:45:52.0         	-32.82	45.45  	-27.82
56:27.8     	12:45:52.8         	-32.82	45.33  	-27.85
56:28.7     	12:45:53.7         	-32.85	45.50  	-27.57
56:29.6     	12:45:54.6         	-32.89	46.68  	-27.42
56:30.5     	12:45:55.5         	-32.95	47.24  	-27.42
56:31.4     	12:45:56.4         	-32.98	47.18  	-27.64
56:32.3     	12:45:57.3         	-32.96	46.18  	-27.84
56:33.2     	12:45:58.2         	-32.94	45.45  	-27.99
56:34.1     	12:45:59.1         	-32.94	45.14  	-27.84
56:35.1     	12:46:00.1         	-32.95	45.94  	-27.87
56:35.8     	12:46:00.8         	-32.95	46.18  	-27.80
56:36.7     	12:46:01.7         	-33.07	46.55  	-27.74
56:37.6     	12:46:02.6         	-33.10	46.88  	-27.73
56:38.6     	12:46:03.6         	-33.11	46.86  	-27.70
56:39.5     	12:46:04.5         	-33.12	46.98  	-27.85
56:40.4     	12:46:05.4         	-33.14	46.50  	-27.98
56:41.3     	12:46:06.3         	-33.14	46.29  	-28.24
56:42.2     	12:46:07.2         	-33.16	45.81  	-28.35
56:43.1     	12:46:08.1         	-33.15	45.89  	-28.39
56:43.9     	12:46:08.9         	-33.17	46.27  	-28.38
56:44.8     	12:46:09.8         	-33.20	46.79  	-28.35
56:45.7     	12:46:10.7         	-33.25	47.41  	-28.38
56:46.6     	12:46:11.6         	-33.28	47.68  	-28.38
56:47.5     	12:46:12.5         	-33.31	48.01  	-28.34
56:48.4     	12:46:13.4         	-33.31	48.38  	-28.34
56:49.3     	12:46:14.3         	-33.32	48.70  	-28.32
56:50.2     	12:46:15.2         	-33.33	49.00  	-28.25
56:51.1     	12:46:16.1         	-33.37	49.56  	-28.28
56:51.9     	12:46:16.9         	-33.42	49.72  	-28.12
56:52.8     	12:46:17.8         	-33.47	50.56  	-28.06
56:53.8     	12:46:18.8         	-33.53	50.96  	-27.90
56:54.7     	12:46:19.7         	-33.57	51.70  	-27.83
56:55.6     	12:46:20.6         	-33.63	52.14  	-27.80
56:56.5     	12:46:21.5         	-33.67	52.44  	-27.98
56:57.4     	12:46:22.4         	-33.69	52.15  	-28.18
56:58.3     	12:46:23.3         	-33.68	51.71  	-28.41
56:59.2     	12:46:24.2         	-33.67	51.36  	-28.61
57:00.0     	12:46:25.0         	-33.71	51.35  	-28.59
57:01.0     	12:46:26.0         	-33.76	52.09  	-28.34
57:01.9     	12:46:26.9         	-33.80	53.54  	-28.28
57:02.7     	12:46:27.7         	-33.84	53.99  	-28.26
57:03.6     	12:46:28.6         	-33.88	54.23  	-28.39
57:04.5     	12:46:29.5         	-33.90	53.91  	-28.49
57:05.4     	12:46:30.4         	-33.92	53.86  	-28.74
57:06.3     	12:46:31.3         	-33.91	53.15  	-28.90
57:07.3     	12:46:32.3         	-33.90	52.83  	-28.99
57:08.2     	12:46:33.2         	-33.89	52.86  	-29.00
57:09.1     	12:46:34.1         	-33.93	53.37  	-29.01
57:10.0     	12:46:35.0         	-33.96	53.62  	-28.97
57:10.9     	12:46:35.9         	-34.00	54.05  	-29.01
57:11.7     	12:46:36.7         	-34.02	53.97  	-28.92
57:12.6     	12:46:37.6         	-34.03	54.38  	-28.98
57:13.5     	12:46:38.5         	-34.04	54.34  	-29.00
57:14.4     	12:46:39.4         	-34.06	54.57  	-29.07
57:15.3     	12:46:40.3         	-34.12	54.87  	-29.11
57:16.2     	12:46:41.2         	-34.20	55.17  	-28.89
57:17.1     	12:46:42.1         	-34.20	56.59  	-28.68
57:18.0     	12:46:43.0         	-34.22	57.55  	-28.71
57:18.9     	12:46:43.9         	-34.21	57.28  	-28.82
57:19.7     	12:46:44.7         	-34.20	56.68  	-28.82
57:20.6     	12:46:45.6         	-34.27	57.08  	-28.74
57:21.5     	12:46:46.5         	-34.34	57.66  	-28.53
57:22.5     	12:46:47.5         	-34.38	58.61  	-28.57
57:23.4     	12:46:48.4         	-34.40	58.18  	-28.70
57:24.3     	12:46:49.3         	-34.38	57.57  	-28.92
57:25.2     	12:46:50.2         	-34.37	56.84  	-29.11
57:26.1     	12:46:51.1         	-34.39	56.79  	-29.33
57:27.0     	12:46:52.0         	-34.45	56.90  	-29.31
57:27.8     	12:46:52.8         	-34.51	58.43  	-29.16
57:28.7     	12:46:53.7         	-34.55	60.23  	-29.00
57:29.7     	12:46:54.7         	-34.56	61.67  	-29.11
57:30.5     	12:46:55.5         	-34.56	61.63  	-29.31
57:31.4     	12:46:56.4         	-34.53	61.10  	-29.55
57:32.3     	12:46:57.3         	-34.53	60.65  	-29.69
57:33.2     	12:46:58.2         	-34.57	60.95  	-29.76
57:34.1     	12:46:59.1         	-34.65	61.76  	-29.51
57:35.0     	12:47:00.0         	-34.70	63.79  	-29.31
57:35.9     	12:47:00.9         	-34.73	65.21  	-29.30
57:36.8     	12:47:01.8         	-34.71	65.22  	-29.51
57:37.7     	12:47:02.7         	-34.70	64.37  	-29.68
57:38.6     	12:47:03.6         	-34.72	63.99  	-29.82
57:39.5     	12:47:04.5         	-34.77	63.97  	-29.76
57:40.4     	12:47:05.4         	-34.83	64.98  	-29.61
57:41.3     	12:47:06.3         	-34.90	66.37  	-29.38
57:42.2     	12:47:07.2         	-34.94	67.73  	-29.21
57:43.1     	12:47:08.1         	-34.97	68.62  	-29.19
57:43.9     	12:47:08.9         	-34.98	68.40  	-29.06
57:44.8     	12:47:09.8         	-35.00	68.86  	-29.11
57:45.8     	12:47:10.8         	-35.02	68.34  	-29.13
57:46.6     	12:47:11.6         	-35.05	68.13  	-29.15
57:47.5     	12:47:12.5         	-35.06	67.83  	-29.16
57:48.4     	12:47:13.4         	-35.08	67.68  	-29.20
57:49.3     	12:47:14.3         	-35.10	67.27  	-29.16
57:50.2     	12:47:15.2         	-35.12	67.42  	-29.26
57:51.2     	12:47:16.2         	-35.15	66.84  	-29.23
57:52.0     	12:47:17.0         	-35.18	67.05  	-29.41
57:53.0     	12:47:18.0         	-35.23	66.39  	-29.55
57:53.9     	12:47:18.9         	-35.24	65.83  	-29.65
57:54.7     	12:47:19.7         	-35.27	65.76  	-29.77
57:55.6     	12:47:20.6         	-35.30	65.57  	-29.83
57:56.5     	12:47:21.5         	-35.34	65.76  	-29.78
57:57.4     	12:47:22.4         	-35.36	66.41  	-29.67
57:58.3     	12:47:23.3         	-35.39	67.18  	-29.57
57:59.2     	12:47:24.2         	-35.39	67.91  	-29.60
58:00.1     	12:47:25.1         	-35.47	67.91  	-29.85
58:01.0     	12:47:26.0         	-35.51	66.81  	-29.74
58:01.9     	12:47:26.9         	-35.51	67.43  	-29.78
58:02.7     	12:47:27.7         	-35.54	67.38  	-29.89
58:03.6     	12:47:28.6         	-35.53	66.91  	-30.08
58:04.6     	12:47:29.6         	-35.34	64.87  	-30.32
58:05.5     	12:47:30.5         	-35.47	64.83  	-30.49
58:06.4     	12:47:31.4         	-35.47	64.27  	-30.65
58:07.3     	12:47:32.3         	-35.46	63.59  	-30.78
58:08.2     	12:47:33.2         	-35.48	63.59  	-30.84
58:09.1     	12:47:34.1         	-35.50	63.80  	-30.78
58:10.0     	12:47:35.0         	-35.53	64.57  	-30.76
58:10.8     	12:47:35.8         	-35.57	65.06  	-30.72
58:11.7     	12:47:36.7         	-35.61	65.60  	-30.61
58:12.6     	12:47:37.6         	-35.63	66.29  	-30.54
58:13.5     	12:47:38.5         	-35.67	66.86  	-30.44
58:14.4     	12:47:39.4         	-35.70	67.45  	-30.40
58:15.3     	12:47:40.3         	-35.75	67.77  	-30.32
58:16.2     	12:47:41.2         	-35.79	68.25  	-30.20
58:17.2     	12:47:42.2         	-35.83	68.86  	-30.01
58:18.1     	12:47:43.1         	-35.86	69.70  	-29.92
58:18.9     	12:47:43.9         	-35.90	69.91  	-29.97
58:19.8     	12:47:44.8         	-35.91	69.31  	-29.98
58:20.7     	12:47:45.7         	-35.93	69.17  	-30.15
58:21.6     	12:47:46.6         	-35.96	68.26  	-30.23
58:22.5     	12:47:47.5         	-35.98	68.05  	-30.37
58:23.4     	12:47:48.4         	-36.03	67.95  	-30.51
58:24.2     	12:47:49.2         	-36.03	67.95  	-30.51
58:25.2     	12:47:50.2         	-36.06	67.66  	-30.53
58:26.1     	12:47:51.1         	-36.09	67.87  	-30.50
58:26.9     	12:47:51.9         	-36.11	68.33  	-30.52
58:27.8     	12:47:52.8         	-36.14	68.52  	-30.51
58:28.7     	12:47:53.7         	-36.17	68.82  	-30.48
58:29.7     	12:47:54.7         	-36.20	69.15  	-30.45
58:30.6     	12:47:55.6         	-36.22	69.40  	-30.51
58:31.5     	12:47:56.5         	-36.25	69.26  	-30.56
58:32.4     	12:47:57.4         	-36.29	68.98  	-30.63
58:33.3     	12:47:58.3         	-36.29	68.62  	-30.71
58:34.2     	12:47:59.2         	-36.29	68.13  	-30.86
58:35.0     	12:48:00.0         	-36.30	67.39  	-30.98
58:35.9     	12:48:00.9         	-36.29	66.82  	-31.11
58:36.8     	12:48:01.8         	-36.30	66.32  	-31.31
58:37.7     	12:48:02.7         	-36.31	65.53  	-31.39
58:38.6     	12:48:03.6         	-36.33	65.37  	-31.57
58:39.5     	12:48:04.5         	-36.35	64.79  	-31.68
58:40.4     	12:48:05.4         	-36.38	64.49  	-31.77
58:41.3     	12:48:06.3         	-36.39	64.24  	-31.75
58:42.2     	12:48:07.2         	-36.42	64.65  	-31.79
58:43.0     	12:48:08.0         	-36.44	64.60  	-31.80
58:43.9     	12:48:08.9         	-36.46	64.57  	-31.79
58:45.0     	12:48:10.0         	-36.48	64.70  	-31.66
58:45.8     	12:48:10.8         	-36.50	65.30  	-31.63
58:46.7     	12:48:11.7         	-36.54	65.45  	-31.60
58:47.6     	12:48:12.6         	-36.56	65.49  	-31.59
58:48.5     	12:48:13.5         	-36.60	65.51  	-31.53
58:49.4     	12:48:14.4         	-36.65	65.91  	-31.32
58:50.3     	12:48:15.3         	-36.80	67.23  	-31.15
58:51.1     	12:48:16.1         	-36.80	68.22  	-30.94
58:52.0     	12:48:17.0         	-36.85	69.10  	-30.85
58:53.0     	12:48:18.0         	-36.88	69.17  	-30.74
58:53.8     	12:48:18.8         	-36.88	69.23  	-30.78
58:54.7     	12:48:19.7         	-36.88	68.46  	-30.86
58:55.6     	12:48:20.6         	-36.86	67.60  	-31.14
58:56.5     	12:48:21.5         	-36.87	66.14  	-31.30
58:57.4     	12:48:22.4         	-36.86	65.44  	-31.48
58:58.4     	12:48:23.4         	-36.89	65.10  	-31.63
58:59.3     	12:48:24.3         	-37.02	65.09  	-31.76
59:00.2     	12:48:25.2         	-37.02	65.32  	-31.63
59:01.1     	12:48:26.1         	-37.09	66.80  	-31.47
59:01.9     	12:48:26.9         	-37.14	67.99  	-31.32
59:02.8     	12:48:27.8         	-37.18	68.98  	-31.36
59:03.7     	12:48:28.7         	-37.22	68.73  	-31.43
59:04.6     	12:48:29.6         	-37.25	68.32  	-31.41
59:05.5     	12:48:30.5         	-37.27	68.49  	-31.33
59:06.4     	12:48:31.4         	-37.28	68.86  	-31.36
59:07.3     	12:48:32.3         	-37.31	68.72  	-31.41
59:08.2     	12:48:33.2         	-37.32	68.38  	-31.36
59:09.1     	12:48:34.1         	-37.34	68.69  	-31.43
59:09.9     	12:48:34.9         	-37.34	68.33  	-31.43
59:10.8     	12:48:35.8         	-37.37	68.43  	-31.52
59:11.7     	12:48:36.7         	-37.39	68.12  	-31.46
59:12.6     	12:48:37.6         	-37.41	68.64  	-31.47
59:13.6     	12:48:38.6         	-37.46	68.73  	-31.46
59:14.5     	12:48:39.5         	-37.50	68.85  	-31.53
59:15.4     	12:48:40.4         	-37.53	68.48  	-31.61
59:16.3     	12:48:41.3         	-37.56	68.20  	-31.95
59:17.2     	12:48:42.2         	-37.58	67.48  	-31.95
59:18.0     	12:48:43.0         	-37.42	65.38  	-32.16
59:18.9     	12:48:43.9         	-37.62	65.77  	-32.18
59:19.8     	12:48:44.8         	-37.64	66.08  	-32.24
59:20.7     	12:48:45.7         	-37.66	66.02  	-32.20
59:21.6     	12:48:46.6         	-37.65	66.37  	-32.30
59:22.5     	12:48:47.5         	-37.70	66.21  	-32.35
59:23.4     	12:48:48.4         	-37.76	66.36  	-32.17
59:24.3     	12:48:49.3         	-37.80	67.65  	-32.08
59:25.2     	12:48:50.2         	-37.83	68.16  	-32.13
59:26.0     	12:48:51.0         	-37.86	67.61  	-32.30
59:27.1     	12:48:52.1         	-37.84	66.24  	-32.45
59:28.0     	12:48:53.0         	-37.80	65.07  	-32.68
59:28.8     	12:48:53.8         	-37.78	63.67  	-32.79
59:29.7     	12:48:54.7         	-37.80	63.25  	-32.89
59:30.6     	12:48:55.6         	-37.81	62.88  	-32.91
59:31.5     	12:48:56.5         	-37.81	62.77  	-33.01
59:32.4     	12:48:57.4         	-37.85	62.36  	-32.89
59:33.3     	12:48:58.3         	-37.90	62.82  	-32.74
59:34.1     	12:48:59.1         	-37.90	63.17  	-32.55
59:35.1     	12:49:00.1         	-37.90	63.39  	-32.54
59:36.0     	12:49:01.0         	-37.86	62.47  	-32.63
59:36.8     	12:49:01.8         	-37.80	61.04  	-32.74
59:37.7     	12:49:02.7         	-37.76	59.80  	-32.81
59:38.6     	12:49:03.6         	-37.86	58.51  	-32.87
59:39.5     	12:49:04.5         	-37.86	58.51  	-32.87
59:40.5     	12:49:05.5         	-37.89	60.97  	-32.20
59:41.4     	12:49:06.4         	-37.88	61.25  	-32.41
59:42.3     	12:49:07.3         	-37.86	59.51  	-32.54
59:43.2     	12:49:08.2         	-37.84	58.51  	-32.74
59:44.1     	12:49:09.1         	-37.87	57.75  	-32.83
59:44.9     	12:49:09.9         	-37.91	57.72  	-32.97
59:45.8     	12:49:10.8         	-37.96	57.55  	-32.94
59:46.7     	12:49:11.7         	-38.00	58.09  	-32.89
59:47.6     	12:49:12.6         	-38.05	58.79  	-32.79
59:48.5     	12:49:13.5         	-38.07	59.55  	-32.64
59:49.4     	12:49:14.4         	-38.11	60.46  	-32.51
59:50.3     	12:49:15.3         	-38.14	61.17  	-32.41
59:51.2     	12:49:16.2         	-38.17	61.60  	-32.39
59:52.1     	12:49:17.1         	-38.19	61.56  	-32.53
59:52.9     	12:49:17.9         	-38.20	60.75  	-32.64
59:53.8     	12:49:18.8         	-38.20	60.10  	-32.83
59:54.7     	12:49:19.7         	-38.20	59.19  	-33.03
59:55.7     	12:49:20.7         	-38.17	58.18  	-33.16
59:56.6     	12:49:21.6         	-38.19	57.80  	-33.22
59:57.5     	12:49:22.5         	-38.23	57.92  	-33.01
59:58.4     	12:49:23.4         	-38.26	59.20  	-32.83
59:59.3     	12:49:24.3         	-38.28	60.09  	-32.68
60:00.2     	12:49:25.2         	-38.33	60.79  	-32.66
60:01.0     	12:49:26.0         	-38.37	60.80  	-32.77
60:01.9     	12:49:26.9         	-38.38	60.06  	-33.00
60:02.8     	12:49:27.8         	-38.34	58.60  	-33.19
60:03.7     	12:49:28.7         	-38.31	57.56  	-33.36
60:04.6     	12:49:29.6         	-38.37	56.52  	-33.52
60:05.5     	12:49:30.5         	-38.37	56.52  	-33.33
60:06.4     	12:49:31.4         	-38.42	57.97  	-33.22
60:07.3     	12:49:32.3         	-38.46	58.57  	-33.08
60:08.2     	12:49:33.2         	-38.47	59.01  	-33.21
60:09.1     	12:49:34.1         	-38.47	57.94  	-33.37
60:10.1     	12:49:35.1         	-38.47	56.75  	-33.49
60:11.0     	12:49:36.0         	-38.50	56.06  	-33.46
60:11.8     	12:49:36.8         	-38.56	56.19  	-33.34
60:12.7     	12:49:37.7         	-38.60	56.51  	-33.19
60:13.6     	12:49:38.6         	-38.64	56.88  	-32.98
60:14.5     	12:49:39.5         	-38.66	57.38  	-32.83
60:15.4     	12:49:40.4         	-38.68	57.45  	-32.75
60:16.3     	12:49:41.3         	-38.68	57.12  	-32.73
60:17.2     	12:49:42.2         	-38.68	56.56  	-32.86
60:18.1     	12:49:43.1         	-38.68	55.41  	-32.89
60:19.0     	12:49:44.0         	-38.68	54.84  	-33.03
60:19.8     	12:49:44.8         	-38.71	54.01  	-33.12
60:20.7     	12:49:45.7         	-38.73	53.43  	-33.36
60:21.6     	12:49:46.6         	-38.74	52.16  	-33.55
60:22.6     	12:49:47.6         	-38.74	51.28  	-33.70
60:23.5     	12:49:48.5         	-38.75	50.69  	-33.81
60:24.4     	12:49:49.4         	-38.75	50.27  	-33.96
60:25.3     	12:49:50.3         	-38.77	49.77  	-33.94
60:26.2     	12:49:51.2         	-38.79	50.06  	-33.98
60:27.1     	12:49:52.1         	-38.84	50.16  	-33.92
60:27.9     	12:49:52.9         	-38.90	50.66  	-33.86
60:28.8     	12:49:53.8         	-38.96	50.81  	-33.86
60:29.7     	12:49:54.7         	-38.99	51.23  	-33.85
60:30.6     	12:49:55.6         	-38.99	51.06  	-33.89
60:31.5     	12:49:56.5         	-39.02	50.94  	-33.69
60:32.4     	12:49:57.4         	-39.07	51.87  	-33.45
60:33.3     	12:49:58.3         	-39.07	52.72  	-33.40
60:34.2     	12:49:59.2         	-39.11	52.73  	-33.43
60:35.1     	12:50:00.1         	-39.09	52.07  	-33.56
60:35.9     	12:50:00.9         	-39.05	51.03  	-33.75
60:36.8     	12:50:01.8         	-39.04	50.08  	-33.93
60:37.8     	12:50:02.8         	-39.08	49.51  	-33.85
60:38.8     	12:50:03.8         	-39.13	50.12  	-33.73
60:39.6     	12:50:04.6         	-39.19	50.85  	-33.74
60:40.5     	12:50:05.5         	-39.23	50.80  	-33.88
60:41.4     	12:50:06.4         	-39.27	50.33  	-34.02
60:42.3     	12:50:07.3         	-39.24	49.54  	-34.14
60:43.2     	12:50:08.2         	-39.29	49.34  	-34.03
60:44.1     	12:50:09.1         	-39.33	50.06  	-33.90
60:45.0     	12:50:10.0         	-39.36	50.75  	-33.94
60:45.9     	12:50:10.9         	-39.37	50.49  	-34.07
60:46.8     	12:50:11.8         	-39.34	49.69  	-34.30
60:47.6     	12:50:12.6         	-39.32	48.56  	-34.42
60:48.5     	12:50:13.5         	-39.32	47.99  	-34.39
60:49.4     	12:50:14.4         	-39.36	48.30  	-34.17
60:50.3     	12:50:15.3         	-39.41	49.43  	-33.90
60:51.2     	12:50:16.2         	-39.46	50.60  	-33.93
60:52.1     	12:50:17.1         	-39.47	49.89  	-34.00
60:53.0     	12:50:18.0         	-39.43	48.89  	-34.19
60:54.0     	12:50:19.0         	-39.41	47.67  	-34.25
60:54.9     	12:50:19.9         	-39.43	47.07  	-34.25
60:55.7     	12:50:20.7         	-39.47	47.44  	-34.05
60:56.6     	12:50:21.6         	-39.49	48.14  	-33.92
60:57.6     	12:50:22.6         	-39.51	48.49  	-33.86
60:58.4     	12:50:23.4         	-39.53	48.50  	-33.76
60:59.3     	12:50:24.3         	-39.57	48.77  	-33.72
61:00.2     	12:50:25.2         	-39.60	48.77  	-33.57
61:01.1     	12:50:26.1         	-39.62	49.13  	-33.58
61:02.0     	12:50:27.0         	-39.66	48.96  	-33.66
61:02.9     	12:50:27.9         	-39.69	48.46  	-33.73
61:03.7     	12:50:28.7         	-39.75	48.24  	-34.03
61:04.6     	12:50:29.6         	-39.79	47.08  	-33.97
61:05.6     	12:50:30.6         	-39.79	47.27  	-34.00
61:06.4     	12:50:31.4         	-39.80	47.11  	-34.04
61:07.4     	12:50:32.4         	-39.81	46.94  	-33.97
61:08.3     	12:50:33.3         	-39.83	47.21  	-33.89
61:09.2     	12:50:34.2         	-39.86	47.54  	-33.90
61:10.1     	12:50:35.1         	-39.89	47.49  	-33.87
61:11.0     	12:50:36.0         	-39.95	47.60  	-34.02
61:11.9     	12:50:36.9         	-39.95	47.05  	-34.14
61:12.8     	12:50:37.8         	-39.96	46.62  	-34.36
61:13.7     	12:50:38.7         	-39.96	45.78  	-34.46
61:14.5     	12:50:39.5         	-39.93	45.47  	-34.65
61:15.4     	12:50:40.4         	-39.94	44.92  	-34.76
61:16.3     	12:50:41.3         	-39.94	44.77  	-34.85
61:17.2     	12:50:42.2         	-39.98	44.84  	-34.91
61:18.1     	12:50:43.1         	-40.01	45.06  	-34.81
61:19.0     	12:50:44.0         	-40.05	45.88  	-34.72
61:19.9     	12:50:44.9         	-40.12	46.75  	-34.50
61:20.8     	12:50:45.8         	-40.15	47.87  	-34.42
61:21.7     	12:50:46.7         	-40.17	48.23  	-34.40
61:22.6     	12:50:47.6         	-40.18	48.29  	-34.55
61:23.5     	12:50:48.5         	-40.17	47.62  	-34.77
61:24.4     	12:50:49.4         	-40.15	46.74  	-34.96
61:25.3     	12:50:50.3         	-40.12	46.07  	-35.07
61:26.2     	12:50:51.2         	-40.12	45.94  	-35.17
